speed,deceleration,deltadistance,delta_time,detection
5.4,-0.6471,1.991,0.520240784,TRUE
5.4,0.3807,0.9565,0.431906223,TRUE
4.37,0.4693,0.2888,0.784141779,TRUE
67.9,103.6948,72.4614,0.129893541,TRUE
67.9,103.6948,72.4614,0.129893541,TRUE
68.42,103.6948,33.3869,0.480212212,TRUE
68.42,-1.495,30.9645,0.409933329,TRUE
67.9,1.1791,55.8484,0.849950075,TRUE
67.9,1.6989,23.6263,0.400167942,TRUE
67.9,-3.5714,35.4791,0.469926119,TRUE
67.9,1.0005,60.0072,0.900090456,TRUE
67.9,-0.4542,59.8918,0.850082636,TRUE
67.9,0.3286,66.6074,0.990255356,TRUE
67.9,0.0147,77.829,1.159961939,FALSE
67.9,0.4499,29.3064,0.450103998,FALSE
66.36,0.0462,33.1041,0.51024437,FALSE
66.36,0.0976,66.4298,1.039856434,FALSE
65.33,-0.004,66.4963,1.040225267,FALSE
63.79,-0.0478,34.0084,0.52994585,FALSE
63.79,1.0196,30.6754,0.520169258,FALSE
60.7,-1.0693,37.7495,0.580255508,FALSE
58.64,3.0682,23.5574,0.459949732,FALSE
58.64,-1.0214,33.0835,0.580126524,FALSE
56.58,0.7732,23.6274,0.440061331,FALSE
56.58,-0.1067,26.0031,0.479819775,FALSE
56.58,-1.771,25.8275,0.420037508,FALSE
51.95,1.1173,51.7156,1.030158997,FALSE
51.95,-2.4423,28.9,0.470200777,FALSE
50.41,10.6921,8.89,0.259670973,FALSE
50.41,-4.0274,21.359,0.420192719,FALSE
50.41,0.4075,21.1405,0.430462837,FALSE
48.35,1.3719,17.4771,0.399616003,FALSE
48.35,-1.5732,23.9678,0.470078707,FALSE
46.29,2.3255,18.9246,0.469949007,FALSE
46.29,-1.301,19.6786,0.430072784,FALSE
43.21,1.1788,17.1837,0.420144081,FALSE
43.21,-0.4755,18.4448,0.429908991,FALSE
40.12,0.318,16.6743,0.400288105,FALSE
40.12,0.5331,22.7503,0.589812279,FALSE
38.06,0.3389,21.2559,0.580059528,FALSE
38.06,-0.4278,22.6718,0.580166817,FALSE
35.49,1.8004,14.0089,0.449960709,FALSE
35.49,-1.0117,18.4613,0.51006031,FALSE
32.92,1.3022,15.8216,0.540023804,TRUE
32.92,-0.9611,17.0073,0.500055075,TRUE
30.35,1.017,15.2254,0.530049801,TRUE
30.35,-0.4306,15.7569,0.510275602,TRUE
27.77,0.8715,13.9633,0.52991271,TRUE
27.77,-0.3309,14.5835,0.520131588,TRUE
25.72,0.6959,13.9658,0.579974174,TRUE
25.72,-0.4085,11.9237,0.459971189,TRUE
24.69,0.841,12.2643,0.58020854,TRUE
24.69,-0.837,10.8896,0.440000296,TRUE
21.6,1.1761,9.2226,0.48002243,TRUE
21.6,-0.1464,8.3221,0.419968367,TRUE
20.57,0.147,10.8277,0.570057392,TRUE
20.57,-0.142,9.034,0.460105419,TRUE
19.03,0.4649,8.221,0.469985723,TRUE
19.03,-0.3627,9.2227,0.480338573,TRUE
17.49,0.9997,7.837,0.579826355,TRUE
17.49,-1.466,8.4698,0.429987192,TRUE
15.94,1.6537,5.6297,0.46004653,TRUE
15.94,-0.3349,8.2047,0.580139875,TRUE
14.4,0.0954,6.3071,0.459966421,TRUE
14.4,-0.1292,6.4304,0.4502244,TRUE
12.86,1.0162,4.3555,0.440083265,TRUE
12.86,-0.7073,6.3469,0.479889631,TRUE
11.83,0.5819,5.2607,0.50999403,TRUE
11.83,-0.3497,6.8532,0.560083389,TRUE
10.8,0.8536,4.227,0.56003499,TRUE
10.8,-1.0257,5.7712,0.470104933,TRUE
9.77,0.9782,3.6506,0.469918489,TRUE
9.77,-0.0215,3.3809,0.43016696,TRUE
9.25,-0.7462,6.5378,0.550085068,TRUE
9.25,0.6736,4.2913,0.500052691,TRUE
8.74,0.3561,3.4686,0.510042429,TRUE
8.74,-0.5565,4.1687,0.450285435,TRUE
8.74,0.4224,3.7423,0.529814243,TRUE
8.74,-0.4037,4.7443,0.520073175,TRUE
7.97,0.0655,4.6548,0.530033112,TRUE
7.97,-0.1993,4.559,0.469976902,TRUE
7.71,0.8108,2.8943,0.520048857,TRUE
7.71,-0.615,4.2912,0.500051498,TRUE
7.45,0.3981,3.6233,0.570064068,TRUE
7.45,-0.2412,3.7707,0.50016284,TRUE
6.94,0.042,3.3809,0.460018158,TRUE
6.94,0.4286,2.7432,0.540044069,TRUE
6.68,-0.3948,4.2504,0.580200672,TRUE
6.68,0.2689,2.5082,0.399967909,TRUE
6.68,0.1254,2.9785,0.530066967,TRUE
6.68,-0.1971,2.7001,0.419887543,TRUE
6.68,-0.4197,3.5272,0.430113792,TRUE
6.68,0.1934,3.9974,0.5599823,TRUE
6.68,0.4296,2.7002,0.570058346,TRUE
6.68,-1.2462,3.9975,0.410076857,TRUE
6.68,0.965,2.5082,0.500151157,TRUE
6.68,-1.1155,4.3242,0.439986467,TRUE
6.68,0.8974,2.7432,0.550073624,TRUE
6.68,-0.3076,3.739,0.560042143,TRUE
6.94,0.1113,2.8406,0.460082293,TRUE
6.94,-0.195,4.2245,0.580012798,TRUE
6.94,-0.4258,5.5083,0.569996357,TRUE
54.53,-51.2142,25.1825,0.208019972,TRUE
54.53,12.8502,18.6421,0.768031836,TRUE
54.53,-8.7094,36.6469,0.528174162,TRUE
54.53,1.4364,32.7119,0.528075457,TRUE
54.53,1.5732,30.2112,0.568081617,TRUE
54.53,-3.2696,30.9347,0.456205845,TRUE
54.53,2.6624,35.5262,0.727968931,TRUE
54.53,0.1906,25.2501,0.528079033,TRUE
